method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE-B,current_y,11,7,448053.16590625,4637703.13221875,208,True,-11.703525641025639,-19.666666666666664,-324.9166666666667,285.5833333333333,0.46153846153846156,0.004807692307692308,0.5336538461538461,0.40384615384615385
BRIDGE-B,current_y,11,8,448053.16590625,4640096.62278125,99,True,-101.04040404040406,0.0,-413.6666666666667,202.5,0.43434343434343436,0.0707070707070707,0.494949494949495,0.37373737373737376
BRIDGE-B,current_y,11,9,448053.16590625,4642490.11334375,7,True,-263.61904761904765,-270.0,-553.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285
BRIDGE-B,current_y,12,3,449135.27859375003,4628129.169968749,5,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,12,4,449135.27859375003,4630522.66053125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,12,5,449135.27859375003,4632916.15109375,5,True,92.93333333333334,118.33333333333333,30.666666666666668,156.33333333333334,0.8,0.2,0.0,0.0
BRIDGE-B,current_y,12,6,449135.27859375003,4635309.64165625,20,True,130.85,192.0,-31.833333333333332,341.33333333333337,0.7,0.0,0.3,0.5
BRIDGE-B,current_y,12,7,449135.27859375003,4637703.13221875,43,True,-236.4263565891473,-232.0,-390.5,-124.0,0.16279069767441862,0.023255813953488372,0.813953488372093,0.16279069767441862
BRIDGE-B,current_y,12,8,449135.27859375003,4640096.62278125,1,False,-315.0,-315.0,-315.0,-315.0,0.0,0.0,1.0,0.0
BRIDGE-B,current_y,13,2,450217.39128125,4625735.67940625,8,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,13,3,450217.39128125,4628129.169968749,24,True,-15.416666666666666,0.0,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0
BRIDGE-B,current_y,13,4,450217.39128125,4630522.66053125,7,True,111.80952380952382,16.333333333333332,-74.00000000000001,167.16666666666669,0.7142857142857143,0.0,0.2857142857142857,0.14285714285714285
BRIDGE-B,current_y,13,5,450217.39128125,4632916.15109375,3,False,12.444444444444438,-89.66666666666667,-114.83333333333334,88.66666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0
BRIDGE-B,current_y,14,2,451299.50396875,4625735.67940625,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,14,3,451299.50396875,4628129.169968749,10,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
