source,target,length_m,highway,osm_way_id
4156113221,1886244368,86.64,secondary,4630404
1886244368,2404152597,25.52,secondary,4630404
2404152597,27440240,20.342,secondary,4630404
27440240,2404152590,26.667,secondary,4630404
2404152590,8838345379,109.266,secondary,4630404
8838345379,27440220,6.997,secondary,4630404
27440220,8838345382,6.385,secondary,4630404
8838345382,2180600375,73.396,secondary,4630404
2180600375,27440229,62.292,secondary,4630404
27440229,9093269256,23.4,secondary,4630404
9093269256,2180600343,25.021,secondary,4630404
2180600343,2180600364,39.643,secondary,4630404
2180600364,709412743,49.084,secondary,4630404
1403560501,294048247,100.646,tertiary,4680562
294048247,1403560501,100.646,tertiary,4680562
294048247,2853171629,103.56,tertiary,4680562
2853171629,294048247,103.56,tertiary,4680562
2853171629,27314342,8.518,tertiary,4680562
27314342,2853171629,8.518,tertiary,4680562
27314342,2853171612,78.898,tertiary,4680562
2853171612,27314342,78.898,tertiary,4680562
2853171612,27314341,62.409,tertiary,4680562
27314341,2853171612,62.409,tertiary,4680562
27314341,251846045,138.455,tertiary,4680562
251846045,27314341,138.455,tertiary,4680562
251846045,2334058194,143.792,tertiary,4680562
2334058194,251846045,143.792,tertiary,4680562
2334058194,2334058184,13.651,tertiary,4680562
2334058184,2334058194,13.651,tertiary,4680562
2334058184,27314339,45.27,tertiary,4680562
27314339,2334058184,45.27,tertiary,4680562
27314339,2334058100,31.708,tertiary,4680562
2334058100,27314339,31.708,tertiary,4680562
2334058100,27189193,35.236,tertiary,4680562
27189193,2334058100,35.236,tertiary,4680562
27189193,1403556328,33.268,tertiary,4680562
1403556328,27189193,33.268,tertiary,4680562
1403556328,1403556344,33.647,tertiary,4680562
1403556344,1403556328,33.647,tertiary,4680562
1403556344,2334057791,29.74,tertiary,4680562
2334057791,1403556344,29.74,tertiary,4680562
2334057791,2334057548,52.824,tertiary,4680562
2334057548,2334057791,52.824,tertiary,4680562
2334057548,4034165802,87.027,tertiary,4680562
4034165802,2334057548,87.027,tertiary,4680562
4034165802,4034164781,10.105,tertiary,4680562
4034164781,4034165802,10.105,tertiary,4680562
4034164781,4034164734,21.429,tertiary,4680562
4034164734,4034164781,21.429,tertiary,4680562
4034164734,2334057249,9.903,tertiary,4680562
2334057249,4034164734,9.903,tertiary,4680562
2334057249,1403572558,22.08,tertiary,4680562
1403572558,2334057249,22.08,tertiary,4680562
1403572558,249721535,34.066,tertiary,4680562
249721535,1403572558,34.066,tertiary,4680562
249721535,322981708,17.32,tertiary,4680562
322981708,249721535,17.32,tertiary,4680562
322981708,322981713,100.75,tertiary,4680562
322981713,322981708,100.75,tertiary,4680562
322981713,4034165823,15.749,tertiary,4680562
4034165823,322981713,15.749,tertiary,4680562
4034165823,1941037095,22.513,tertiary,4680562
1941037095,4034165823,22.513,tertiary,4680562
1941037095,249721471,23.122,tertiary,4680562
249721471,1941037095,23.122,tertiary,4680562
249721471,6598021955,46.839,tertiary,4680562
6598021955,249721471,46.839,tertiary,4680562
6598021955,6598021948,10.22,tertiary,4680562
6598021948,6598021955,10.22,tertiary,4680562
258019610,349849166,48.92,motorway,4680600
349883027,9265292686,32.906,motorway,4680601
9265292686,349883028,32.446,motorway,4680601
349883028,2991659634,26.212,motorway,4680601
2991659634,349882502,53.755,motorway,4680601
6341896531,9268972610,40.111,motorway,4694845
9268972610,9268972608,101.406,motorway,4694845
9268972608,9268972587,126.516,motorway,4694845
9268972587,9268972588,26.929,motorway,4694845
9268972588,9268972584,24.968,motorway,4694845
9268972584,258019604,43.278,motorway,4694845
258019604,258019605,32.239,motorway,4694845
