node_id,lon,lat,x_m,y_m
305516575,-87.7358506,41.9881569,439047.126,4648723.152
305516661,-87.7347328,41.9888321,439140.36,4648797.324
305516662,-87.734746,41.9895905,439139.989,4648881.538
305516906,-87.7288141,41.9908296,439632.51,4649014.916
305517297,-87.7139511,41.9903364,440863.159,4648949.786
305517303,-87.7127775,41.9903528,440960.385,4648950.797
305517306,-87.7152166,41.9903191,440758.321,4648948.74
305517314,-87.7164283,41.9903023,440657.939,4648947.714
305517319,-87.7188584,41.9902655,440456.618,4648945.315
305517329,-87.7176341,41.9902887,440558.049,4648947.04
305517457,-87.709934,41.9866775,441192.532,4648540.774
305517463,-87.7104758,41.9885001,441149.33,4648743.509
305517480,-87.7094183,41.9849681,441233.678,4648350.626
305517850,-87.7097321,41.983954,441206.75,4648238.247
305517872,-87.7100101,41.9848704,441184.564,4648340.185
305517879,-87.7102836,41.9857719,441162.738,4648440.466
305518923,-87.7058791,41.9830849,441525.134,4648139.113
305518933,-87.7072701,41.9830802,441409.899,4648139.542
305518934,-87.7064703,41.9830862,441476.16,4648139.661
305519064,-87.7094345,41.9903849,441237.318,4648952.062
305519102,-87.7087876,41.9903924,441290.908,4648952.451
305519159,-87.7099243,41.9918782,441198.122,4649118.199
305519188,-87.7071463,41.9899938,441426.493,4648907.071
305519271,-87.7045435,41.9886967,441640.901,4648761.278
305519272,-87.7033473,41.9879225,441739.28,4648674.504
305519276,-87.7038909,41.9882438,441694.544,4648710.548
305519284,-87.7050868,41.9890148,441596.189,4648796.966
305519465,-87.7026049,41.9875422,441800.429,4648631.775
305519469,-87.7013665,41.9868012,441902.338,4648548.661
305519487,-87.7001235,41.9860639,442004.633,4648465.957
305519653,-87.6992392,41.9855383,442077.409,4648407.001
305522120,-87.6958702,41.9835722,442354.713,4648186.433
305522158,-87.6967742,41.9841027,442280.305,4648245.943
305522162,-87.6971024,41.9842933,442253.29,4648267.327
305522175,-87.6976524,41.9846131,442208.018,4648303.205
305522185,-87.6983525,41.9850209,442150.392,4648348.955
305522376,-87.6894792,41.9849953,442885.413,4648340.158
