scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
train,marginal_coverage,18,1,745,0.573153615,49.098500000,51.451000000
train,marginal_coverage,18,2,474,0.540103555,77.631000000,73.839500000
train,marginal_coverage,18,3,716,0.538434267,51.921000000,53.590000000
train,marginal_coverage,18,4,742,0.513250351,49.975500000,59.615000000
train,marginal_coverage,18,5,520,0.475850284,83.438500000,84.154000000
train,marginal_coverage,18,6,1162,0.453003615,47.727000000,44.460500000
train,marginal_coverage,18,7,1182,0.400384218,19.348500000,18.873500000
train,marginal_coverage,18,8,473,0.447742730,64.580000000,75.450500000
train,marginal_coverage,18,9,1094,0.358758390,52.522000000,49.115000000
train,marginal_coverage,18,10,673,0.323596150,18.975000000,15.782500000
train,marginal_coverage,18,11,450,0.293157637,57.971500000,59.969000000
train,marginal_coverage,18,12,992,0.328423202,32.733500000,32.373500000
train,marginal_coverage,18,13,794,0.274262637,34.144000000,40.372500000
train,marginal_coverage,18,14,878,0.253447324,28.608500000,27.238000000
train,marginal_coverage,18,15,1108,0.236366525,13.749000000,10.938500000
train,marginal_coverage,18,16,663,0.205338642,16.298500000,15.971000000
train,marginal_coverage,18,17,1084,0.222705081,20.670000000,22.226000000
train,marginal_coverage,18,18,681,0.195929885,21.323000000,21.805000000
train,hard_disjoint,5,1,745,0.573153615,49.098500000,51.451000000
train,hard_disjoint,5,2,474,0.540103555,77.631000000,73.839500000
train,hard_disjoint,5,3,716,0.538434267,51.921000000,53.590000000
train,hard_disjoint,5,4,742,0.513250351,49.975500000,59.615000000
train,hard_disjoint,5,5,520,0.475850284,83.438500000,84.154000000
train,hard_disjoint,10,1,745,0.573153615,49.098500000,51.451000000
train,hard_disjoint,10,2,474,0.540103555,77.631000000,73.839500000
train,hard_disjoint,10,3,716,0.538434267,51.921000000,53.590000000
train,hard_disjoint,10,4,742,0.513250351,49.975500000,59.615000000
train,hard_disjoint,10,5,520,0.475850284,83.438500000,84.154000000
train,hard_disjoint,10,6,1162,0.453003615,47.727000000,44.460500000
train,hard_disjoint,10,7,1182,0.400384218,19.348500000,18.873500000
train,hard_disjoint,10,8,1094,0.358758390,52.522000000,49.115000000
train,hard_disjoint,10,9,673,0.323596150,18.975000000,15.782500000
train,hard_disjoint,10,10,450,0.293157637,57.971500000,59.969000000
train,hard_disjoint,18,1,745,0.573153615,49.098500000,51.451000000
train,hard_disjoint,18,2,474,0.540103555,77.631000000,73.839500000
train,hard_disjoint,18,3,716,0.538434267,51.921000000,53.590000000
train,hard_disjoint,18,4,742,0.513250351,49.975500000,59.615000000
train,hard_disjoint,18,5,520,0.475850284,83.438500000,84.154000000
train,hard_disjoint,18,6,1162,0.453003615,47.727000000,44.460500000
train,hard_disjoint,18,7,1182,0.400384218,19.348500000,18.873500000
train,hard_disjoint,18,8,1094,0.358758390,52.522000000,49.115000000
train,hard_disjoint,18,9,673,0.323596150,18.975000000,15.782500000
train,hard_disjoint,18,10,450,0.293157637,57.971500000,59.969000000
train,hard_disjoint,18,11,794,0.274262637,34.144000000,40.372500000
train,hard_disjoint,18,12,1039,0.247528136,20.907500000,22.963000000
train,hard_disjoint,18,13,64,0.221589714,31.314500000,29.786500000
train,hard_disjoint,18,14,663,0.205338642,16.298500000,15.971000000
train,hard_disjoint,18,15,681,0.195929885,21.323000000,21.805000000
train,hard_disjoint,18,16,251,0.164811805,23.862500000,20.248500000
train,hard_disjoint,18,17,977,0.153074637,13.490500000,10.359500000
train,hard_disjoint,18,18,640,0.148176044,16.769000000,16.515000000
validation,direct_topk,5,1,1130,0.557180762,33.439500000,36.594500000
validation,direct_topk,5,2,215,0.506210029,25.034500000,24.765500000
validation,direct_topk,5,3,638,0.471706718,71.993500000,69.612500000
validation,direct_topk,5,4,59,0.470874161,50.636500000,51.831500000
validation,direct_topk,5,5,618,0.448591560,42.880000000,50.407500000
validation,direct_topk,10,1,1130,0.557180762,33.439500000,36.594500000
validation,direct_topk,10,2,215,0.506210029,25.034500000,24.765500000
validation,direct_topk,10,3,638,0.471706718,71.993500000,69.612500000
validation,direct_topk,10,4,59,0.470874161,50.636500000,51.831500000
validation,direct_topk,10,5,618,0.448591560,42.880000000,50.407500000
validation,direct_topk,10,6,359,0.447473764,40.826500000,48.213500000
validation,direct_topk,10,7,423,0.431488812,72.930000000,73.946000000
validation,direct_topk,10,8,157,0.424570203,69.884000000,64.306500000
validation,direct_topk,10,9,114,0.409425795,35.944000000,34.197000000
validation,direct_topk,10,10,903,0.399984211,49.056000000,44.407000000
validation,direct_topk,18,1,1130,0.557180762,33.439500000,36.594500000
validation,direct_topk,18,2,215,0.506210029,25.034500000,24.765500000
validation,direct_topk,18,3,638,0.471706718,71.993500000,69.612500000
validation,direct_topk,18,4,59,0.470874161,50.636500000,51.831500000
validation,direct_topk,18,5,618,0.448591560,42.880000000,50.407500000
validation,direct_topk,18,6,359,0.447473764,40.826500000,48.213500000
validation,direct_topk,18,7,423,0.431488812,72.930000000,73.946000000
validation,direct_topk,18,8,157,0.424570203,69.884000000,64.306500000
validation,direct_topk,18,9,114,0.409425795,35.944000000,34.197000000
validation,direct_topk,18,10,903,0.399984211,49.056000000,44.407000000
validation,direct_topk,18,11,436,0.398505598,73.080500000,77.531000000
validation,direct_topk,18,12,5,0.381175041,45.496000000,40.418000000
validation,direct_topk,18,13,730,0.376842916,24.884000000,21.023000000
validation,direct_topk,18,14,47,0.373877436,64.051500000,65.786500000
validation,direct_topk,18,15,754,0.370187134,40.352500000,42.076500000
validation,direct_topk,18,16,536,0.357617825,51.898500000,51.533000000
validation,direct_topk,18,17,172,0.276110351,50.700000000,44.765500000
validation,direct_topk,18,18,1042,0.266533613,43.847500000,39.581000000
validation,jaccard_penalty,5,1,1130,0.557180762,33.439500000,36.594500000
validation,jaccard_penalty,5,2,215,0.506210029,25.034500000,24.765500000
validation,jaccard_penalty,5,3,638,0.471706718,71.993500000,69.612500000
validation,jaccard_penalty,5,4,423,0.431488812,72.930000000,73.946000000
validation,jaccard_penalty,5,5,903,0.399984211,49.056000000,44.407000000
validation,jaccard_penalty,10,1,1130,0.557180762,33.439500000,36.594500000
validation,jaccard_penalty,10,2,215,0.506210029,25.034500000,24.765500000
validation,jaccard_penalty,10,3,638,0.471706718,71.993500000,69.612500000
validation,jaccard_penalty,10,4,423,0.431488812,72.930000000,73.946000000
validation,jaccard_penalty,10,5,903,0.399984211,49.056000000,44.407000000
validation,jaccard_penalty,10,6,730,0.376842916,24.884000000,21.023000000
validation,jaccard_penalty,10,7,618,0.448591560,42.880000000,50.407500000
validation,jaccard_penalty,10,8,754,0.370187134,40.352500000,42.076500000
validation,jaccard_penalty,10,9,536,0.357617825,51.898500000,51.533000000
validation,jaccard_penalty,10,10,1042,0.266533613,43.847500000,39.581000000
validation,jaccard_penalty,18,1,1130,0.557180762,33.439500000,36.594500000
validation,jaccard_penalty,18,2,215,0.506210029,25.034500000,24.765500000
validation,jaccard_penalty,18,3,638,0.471706718,71.993500000,69.612500000
validation,jaccard_penalty,18,4,423,0.431488812,72.930000000,73.946000000
