method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE,current_y,9,6,-38796.54228125,165416.634375,88,True,-62.1969696969697,-90.0,-290.25,181.25,0.38636363636363635,0.0,0.6136363636363636,0.375
BRIDGE,current_y,9,7,-38796.54228125,166494.784125,58,True,-49.53448275862069,-48.5,-221.25,60.0,0.29310344827586204,0.08620689655172414,0.6206896551724138,0.29310344827586204
BRIDGE,current_y,9,8,-38796.54228125,167572.933875,28,True,58.69047619047619,49.5,-81.25,156.25,0.6428571428571429,0.0,0.35714285714285715,0.6071428571428571
BRIDGE,current_y,9,9,-38796.54228125,168651.083625,10,True,106.1,50.0,7.0,238.5,0.8,0.0,0.2,0.7
BRIDGE,current_y,9,10,-38796.54228125,169729.233375,1,False,205.0,205.0,205.0,205.0,1.0,0.0,0.0,1.0
BRIDGE,current_y,9,11,-38796.54228125,170807.383125,1,False,403.0,403.0,403.0,403.0,1.0,0.0,0.0,1.0
BRIDGE,current_y,10,4,-37799.14746875,163260.334875,3,False,39.666666666666664,0.0,-49.5,109.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
BRIDGE,current_y,10,5,-37799.14746875,164338.48462499998,16,True,2.375,0.0,-11.25,22.5,0.25,0.4375,0.3125,0.25
BRIDGE,current_y,10,6,-37799.14746875,165416.634375,18,True,-89.77777777777777,-40.0,-125.75,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.1111111111111111
BRIDGE,current_y,10,7,-37799.14746875,166494.784125,25,True,-73.28,-21.0,-243.0,94.0,0.36,0.12,0.52,0.36
BRIDGE,current_y,10,8,-37799.14746875,167572.933875,8,True,136.33333333333334,270.5,-49.5,335.75,0.625,0.125,0.25,0.625
BRIDGE,current_y,10,9,-37799.14746875,168651.083625,2,False,223.0,223.0,220.0,226.0,1.0,0.0,0.0,1.0
BRIDGE,current_y,10,11,-37799.14746875,170807.383125,2,False,-252.0,-252.0,-451.0,-53.0,0.5,0.0,0.5,0.0
BRIDGE,current_y,11,4,-36801.75265625,163260.334875,3,False,-143.33333333333334,-39.0,-215.0,-19.5,0.0,0.3333333333333333,0.6666666666666666,0.0
BRIDGE,current_y,11,5,-36801.75265625,164338.48462499998,5,True,-112.2,-30.0,-188.0,-14.0,0.0,0.2,0.8,0.0
BRIDGE,current_y,11,6,-36801.75265625,165416.634375,8,True,-0.5833333333333357,0.0,-19.25,2.0,0.25,0.5,0.25,0.25
BRIDGE,current_y,11,7,-36801.75265625,166494.784125,5,True,-42.6,0.0,0.0,0.0,0.2,0.6,0.2,0.2
BRIDGE,current_y,11,8,-36801.75265625,167572.933875,7,True,-149.61904761904765,-195.0,-230.0,-163.5,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285
BRIDGE,current_y,11,10,-36801.75265625,169729.233375,5,True,-113.13333333333335,-164.0,-306.0,-132.0,0.2,0.0,0.8,0.2
BRIDGE,current_y,12,4,-35804.35784375,163260.334875,1,False,-200.0,-200.0,-200.0,-200.0,0.0,0.0,1.0,0.0
BRIDGE,current_y,12,5,-35804.35784375,164338.48462499998,2,False,-100.5,-100.5,-150.75,-50.25,0.0,0.5,0.5,0.0
BRIDGE,current_y,12,6,-35804.35784375,165416.634375,1,False,-636.0,-636.0,-636.0,-636.0,0.0,0.0,1.0,0.0
BRIDGE,current_y,12,8,-35804.35784375,167572.933875,1,False,-21.0,-21.0,-21.0,-21.0,0.0,0.0,1.0,0.0
BRIDGE,current_y,13,5,-34806.96303125,164338.48462499998,1,False,99.0,99.0,99.0,99.0,1.0,0.0,0.0,1.0
BRIDGE,current_y,13,6,-34806.96303125,165416.634375,1,False,11.0,11.0,11.0,11.0,1.0,0.0,0.0,1.0
BRIDGE,future_f,1,7,-46775.700781249994,166494.784125,1,False,-156.0,-156.0,-156.0,-156.0,0.0,0.0,1.0,0.0
BRIDGE,future_f,2,6,-45778.30596875,165416.634375,3,False,38.0,0.0,0.0,57.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
