scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
train,marginal_coverage,10,9,1134,0.447850078,108.943500000,105.033500000
train,marginal_coverage,10,10,903,0.437488735,115.474000000,116.407000000
train,marginal_coverage,18,1,988,1.352652073,181.537500000,186.602500000
train,marginal_coverage,18,2,1031,1.190610766,171.198000000,165.984000000
train,marginal_coverage,18,3,544,0.873168170,141.395000000,146.656000000
train,marginal_coverage,18,4,797,0.943206310,171.285500000,177.544500000
train,marginal_coverage,18,5,388,0.720611691,123.270500000,130.033000000
train,marginal_coverage,18,6,508,0.718191743,148.107500000,142.877000000
train,marginal_coverage,18,7,402,0.690608263,148.394000000,149.046000000
train,marginal_coverage,18,8,888,0.623846650,91.242500000,94.187000000
train,marginal_coverage,18,9,1134,0.447850078,108.943500000,105.033500000
train,marginal_coverage,18,10,903,0.437488735,115.474000000,116.407000000
train,marginal_coverage,18,11,847,0.399687767,117.936500000,107.566000000
train,marginal_coverage,18,12,695,0.448247850,128.174500000,121.509000000
train,marginal_coverage,18,13,911,0.320254177,91.760000000,90.869000000
train,marginal_coverage,18,14,256,0.314799428,83.566500000,82.397000000
train,marginal_coverage,18,15,158,0.293840051,50.206000000,50.274500000
train,marginal_coverage,18,16,192,0.275511473,94.055000000,88.978000000
train,marginal_coverage,18,17,518,0.573464394,115.091000000,117.032500000
train,marginal_coverage,18,18,156,0.256192386,46.821500000,43.672500000
train,hard_disjoint,5,1,988,1.352652073,181.537500000,186.602500000
train,hard_disjoint,5,2,652,0.996122420,163.860500000,163.722000000
train,hard_disjoint,5,3,388,0.720611691,123.270500000,130.033000000
train,hard_disjoint,5,4,508,0.718191743,148.107500000,142.877000000
train,hard_disjoint,5,5,402,0.690608263,148.394000000,149.046000000
train,hard_disjoint,10,1,988,1.352652073,181.537500000,186.602500000
train,hard_disjoint,10,2,652,0.996122420,163.860500000,163.722000000
train,hard_disjoint,10,3,388,0.720611691,123.270500000,130.033000000
train,hard_disjoint,10,4,508,0.718191743,148.107500000,142.877000000
train,hard_disjoint,10,5,402,0.690608263,148.394000000,149.046000000
train,hard_disjoint,10,6,888,0.623846650,91.242500000,94.187000000
train,hard_disjoint,10,7,903,0.437488735,115.474000000,116.407000000
train,hard_disjoint,10,8,1103,0.437110305,97.959500000,94.913500000
train,hard_disjoint,10,9,847,0.399687767,117.936500000,107.566000000
train,hard_disjoint,10,10,756,0.328111470,113.900000000,113.170000000
train,hard_disjoint,18,1,988,1.352652073,181.537500000,186.602500000
train,hard_disjoint,18,2,652,0.996122420,163.860500000,163.722000000
train,hard_disjoint,18,3,388,0.720611691,123.270500000,130.033000000
train,hard_disjoint,18,4,508,0.718191743,148.107500000,142.877000000
train,hard_disjoint,18,5,402,0.690608263,148.394000000,149.046000000
train,hard_disjoint,18,6,888,0.623846650,91.242500000,94.187000000
train,hard_disjoint,18,7,903,0.437488735,115.474000000,116.407000000
train,hard_disjoint,18,8,1103,0.437110305,97.959500000,94.913500000
train,hard_disjoint,18,9,847,0.399687767,117.936500000,107.566000000
train,hard_disjoint,18,10,756,0.328111470,113.900000000,113.170000000
train,hard_disjoint,18,11,558,0.302601308,76.194000000,71.623000000
train,hard_disjoint,18,12,158,0.293840051,50.206000000,50.274500000
train,hard_disjoint,18,13,192,0.275511473,94.055000000,88.978000000
train,hard_disjoint,18,14,156,0.256192386,46.821500000,43.672500000
train,hard_disjoint,18,15,159,0.241567791,77.628500000,72.198500000
train,hard_disjoint,18,16,985,0.232024550,41.402000000,39.413000000
train,hard_disjoint,18,17,968,0.204384342,66.399000000,64.249500000
train,hard_disjoint,18,18,16,0.191710263,84.011000000,79.952500000
validation,direct_topk,5,1,1003,1.272784948,181.605500000,184.121000000
validation,direct_topk,5,2,424,1.237535477,177.977500000,177.066000000
validation,direct_topk,5,3,599,1.220734358,151.010000000,159.574000000
validation,direct_topk,5,4,217,1.128592730,170.656000000,176.901500000
validation,direct_topk,5,5,917,0.944515586,106.258500000,111.718000000
validation,direct_topk,10,1,1003,1.272784948,181.605500000,184.121000000
validation,direct_topk,10,2,424,1.237535477,177.977500000,177.066000000
