node_id,seed_score,endpoint_risk,train_proxy_target,validation_proxy_target,test_proxy_target,selected_region_id
25532201,0.06908203,0.00000000,0.01508051,0.10882910,0.00000000,
25532202,0.07409640,0.00000000,0.04379297,0.02719605,0.00491964,
25532204,0.08892669,0.00390775,0.02663613,0.01166355,0.00730015,
25532205,0.02108243,0.00000000,0.03692206,0.01751026,0.02865862,
25532206,0.02901366,0.00000000,0.03364677,0.06892254,0.01932950,
25532207,0.02565915,0.00000000,0.05315362,0.02719605,0.01458301,
25532208,0.02363907,0.00000000,0.15495259,0.01751026,0.11815352,
25532209,0.03352413,0.00838766,0.01376398,0.01722137,0.05095324,
25532210,0.11397103,0.01202791,0.05725259,0.21264403,0.00000000,
25532211,0.07163729,0.00049514,0.07173972,0.00000000,0.05175674,
25532212,0.09886248,0.00065976,0.09619094,0.00507161,0.06458054,
25532222,0.07168667,0.00065976,0.06001732,0.20673321,0.00000000,
25620516,0.35633123,0.29165605,0.15398167,0.07609151,0.13106467,
25620518,0.25166947,0.11493793,0.19880609,0.14952795,0.05428966,
25620570,0.41193238,0.11208276,0.59200919,0.67340517,0.61251235,
25620653,0.05187296,0.01248609,0.02274550,0.03040709,0.05313366,
25620692,0.26301768,0.11164174,0.07036864,0.05098861,0.02153746,
25620737,0.14788052,0.26643452,0.09316503,0.08994301,0.12808132,
25620743,0.22444768,0.11811597,0.03428351,0.02902495,0.03478585,
25620747,0.20193388,0.20983049,0.07150893,0.06366473,0.05671916,
25620759,0.27078092,0.44407010,0.19437462,0.07112019,0.13019046,
25620947,0.30042195,0.27587166,0.36273143,0.29550871,0.29195476,
25620948,0.26373920,0.48817003,0.37441683,0.35136309,0.32016483,
25620960,0.15068619,0.41850463,0.14566357,0.09866177,0.07564704,
25632224,0.45517147,0.22896706,0.55834764,0.54909939,0.54123735,
25632225,0.44888699,0.32340559,0.82398826,0.82426864,0.74728680,
25632226,0.36120266,0.17453857,0.32998019,0.31343439,0.46093097,
25632227,0.41328204,0.21316719,0.54940510,0.55164152,0.61798173,
25632228,0.38222513,0.22234659,0.32115406,0.29473478,0.34448561,
25632229,0.32624200,0.16387954,0.36422169,0.32174072,0.32231548,
25632230,0.22934745,0.35515144,0.16787036,0.16431519,0.23640658,
25632231,0.29771802,0.53205568,0.50810093,0.46311197,0.54065490,
25632278,0.30604014,0.29480270,0.48172435,0.51205206,0.44653013,
25632279,0.41419473,0.23292316,0.64300364,0.66241306,0.57703483,
25632284,0.22829743,0.05198228,0.14851087,0.10257129,0.10007903,
25632285,0.24569744,0.29242244,0.29855883,0.30734384,0.29118034,
25632292,0.40358004,0.17120059,0.41538909,0.34155685,0.34225920,
25632293,0.04619845,0.00663590,0.01940643,0.00376454,0.11386076,
25632361,0.14444634,0.08136064,0.31523418,0.27663639,0.41096625,
25632362,0.17159536,0.06155048,0.26748216,0.21218844,0.23453176,
25632363,0.24801792,0.07622815,0.00452022,0.00000000,0.01265385,
25632364,0.30136716,0.27161559,0.55664861,0.41596192,0.50016600,
25632365,0.15474111,0.05968106,0.27815762,0.29708424,0.26090628,
25632366,0.22643808,0.18130393,0.47889647,0.48510686,0.40534744,
25632367,0.31054875,0.05951416,0.18883222,0.17749594,0.05123596,
25632368,0.20406102,0.11502874,0.11110335,0.11563261,0.00399952,
25632370,0.19242506,0.04884419,0.30198112,0.27046445,0.32259044,
25632371,0.25559190,0.22738212,0.00268974,0.00522042,0.00000000,
25632372,0.33600479,0.07153891,0.52902967,0.44253385,0.53894389,
25632375,0.16664635,0.09491300,0.14675660,0.05630469,0.18969660,
25632376,0.22628467,0.09980629,0.07615456,0.09695458,0.06712332,
25632398,0.27118185,0.09128599,0.12654874,0.10402867,0.08786041,
