method,region_id,seed_node,seed_score,node_count,boundary_count
random_bfs_seed2,82,1327640581,0.01674888,512,22
random_bfs_seed2,83,10719405358,0.00170334,512,29
random_bfs_seed2,84,1725592576,0.03107626,512,28
random_bfs_seed2,85,3740081008,0.02248138,512,24
random_bfs_seed2,86,2595671284,0.07572908,512,32
random_bfs_seed2,87,1438731373,0.00463252,512,14
random_bfs_seed2,88,12565432584,0.00137688,512,19
random_bfs_seed2,89,26122812,0.06197384,512,14
random_bfs_seed2,90,9731178817,0.0128645,512,27
random_bfs_seed2,91,8796445200,0.03132916,512,31
random_bfs_seed2,92,2354389953,0.03817053,512,38
random_bfs_seed2,93,1324808277,0.00134735,512,17
random_bfs_seed2,94,11377962757,0.02169045,512,16
random_bfs_seed2,95,2087549213,0.00913921,512,31
random_bfs_seed2,96,2099822943,0.01027039,512,22
random_bfs_seed2,97,2854226058,0.0251027,512,15
random_bfs_seed2,98,1520431706,0.00514947,512,31
random_bfs_seed2,99,6228577748,0.0460874,512,30
random_bfs_seed3,0,3679309009,0.03143333,512,26
random_bfs_seed3,1,9654098774,0.01129353,512,13
random_bfs_seed3,2,1670607194,0.02567359,512,37
random_bfs_seed3,3,8841541744,0.04088485,512,31
random_bfs_seed3,4,1438640117,0.00319821,512,27
random_bfs_seed3,5,1103952871,0.0503318,512,25
random_bfs_seed3,6,4438030100,0.04572627,512,40
random_bfs_seed3,7,280065204,0.00706198,512,28
random_bfs_seed3,8,4822680770,0.03114638,512,29
random_bfs_seed3,9,3146198366,0.00771362,512,13
random_bfs_seed3,10,1126327319,0.00687,512,36
random_bfs_seed3,11,4581574170,0.01968998,512,37
random_bfs_seed3,12,8511029415,0.04198074,512,17
random_bfs_seed3,13,4537191760,0.0034797,512,22
random_bfs_seed3,14,4751660528,0.0291977,512,31
random_bfs_seed3,15,11100239647,0.0500317,512,47
random_bfs_seed3,16,5497774163,0.02423995,512,35
random_bfs_seed3,17,2529071496,0.04392739,512,21
random_bfs_seed3,18,13056066857,0.00538071,512,28
random_bfs_seed3,19,3740426792,0.01499454,512,22
random_bfs_seed3,20,4595511222,0.23995641,512,30
random_bfs_seed3,21,8662514380,0.00593747,512,31
random_bfs_seed3,22,12163494375,0.00219911,512,18
random_bfs_seed3,23,1837851125,0.03205989,512,26
random_bfs_seed3,24,4496173301,0.01264584,512,24
random_bfs_seed3,25,1104540783,0.0057725,512,36
random_bfs_seed3,26,10892466839,0.13297404,512,30
random_bfs_seed3,27,1219137856,0.02570596,512,33
random_bfs_seed3,28,11356410279,0.05711402,512,25
random_bfs_seed3,29,12763312047,0.00433381,512,18
random_bfs_seed3,30,1183641829,0.00070386,512,31
random_bfs_seed3,31,1199869589,0.00035178,512,17
random_bfs_seed3,32,4452315803,0.02156981,512,42
random_bfs_seed3,33,9367370458,0.01422181,512,38
random_bfs_seed3,34,1173452966,0.00204923,512,25
random_bfs_seed3,35,1324806117,0.00284767,512,32
random_bfs_seed3,36,1548075419,0.00428758,512,33
random_bfs_seed3,37,280240367,0.01370596,512,21
random_bfs_seed3,38,1321505374,0.00073009,512,31
random_bfs_seed3,39,2363578534,0.18089458,512,46
random_bfs_seed3,40,1714153994,0.00206489,512,35
random_bfs_seed3,41,11358641826,0.00593035,512,39
random_bfs_seed3,42,1437366480,0.00942928,512,27
random_bfs_seed3,43,12739302738,0.02779735,512,34
random_bfs_seed3,44,8934349910,0.00965219,512,28
random_bfs_seed3,45,1143318128,0.05938525,512,32
